2024-09-25 10:04:44,450 - INFO - Starting file processing for Spechbach_RNAB.TXT
2024-09-25 10:04:44,450 - INFO - DataLoader initialized with file path: C:\Users\D.Muehlfeld\Documents\Synthetic_Data\Synthetic_Data_Roughness\Spechbach_RNAB.TXT
2024-09-25 10:04:44,450 - INFO - Attempting to read file: C:\Users\D.Muehlfeld\Documents\Synthetic_Data\Synthetic_Data_Roughness\Spechbach_RNAB.TXT
2024-09-25 10:04:44,451 - DEBUG - File opened successfully
2024-09-25 10:04:44,451 - DEBUG - File read into memory
2024-09-25 10:04:44,455 - DEBUG - Data parsed into DataFrame
2024-09-25 10:04:44,455 - INFO - Start iteration 0 (number 0) for Spechbach_RNAB.TXT
2024-09-25 10:04:44,455 - INFO - Changing friction for iteration 0 (number 0) for Spechbach_RNAB.TXT
2024-09-25 10:04:44,455 - INFO - DataProcessor initialized with file: C:\Users\D.Muehlfeld\Documents\Synthetic_Data\Synthetic_Data_Roughness\Spechbach_RNAB.TXT
2024-09-25 10:04:44,455 - INFO - Starting to change friction values for rows where the first column is 'RAU'.
2024-09-25 10:04:44,457 - DEBUG - New value at index 17, column RAU: 0.9503827986012999
2024-09-25 10:04:44,457 - DEBUG - Original value at index 18, column RAU: 21.1881
2024-09-25 10:04:44,457 - DEBUG - New value at index 18, column RAU: 4.728480261482104
2024-09-25 10:04:44,457 - DEBUG - Original value at index 19, column RAU: 2.9385
2024-09-25 10:04:44,457 - DEBUG - New value at index 19, column RAU: 4.1810870856746565
2024-09-25 10:04:44,457 - DEBUG - Original value at index 20, column RAU: 24.8096
2024-09-25 10:04:44,457 - DEBUG - New value at index 20, column RAU: 2.0573507595308627
2024-09-25 10:04:44,457 - DEBUG - Original value at index 21, column RAU: 2.1645
2024-09-25 10:04:44,457 - DEBUG - New value at index 21, column RAU: 1.0721082565484474
2024-09-25 10:04:44,457 - DEBUG - Original value at index 22, column RAU: 55.4473
2024-09-25 10:04:44,457 - DEBUG - New value at index 22, column RAU: 4.418058300022546
2024-09-25 10:04:44,457 - DEBUG - Original value at index 23, column RAU: 1.8354
2024-09-25 10:04:44,457 - DEBUG - New value at index 23, column RAU: 2.59978062583551
2024-09-25 10:04:44,457 - DEBUG - Original value at index 24, column RAU: 1.1811
2024-09-25 10:04:44,457 - DEBUG - New value at index 24, column RAU: 2.0468848787496303
2024-09-25 10:04:44,457 - DEBUG - Original value at index 25, column RAU: 1.6221
2024-09-25 10:04:44,457 - DEBUG - New value at index 25, column RAU: 2.8773004249680416
2024-09-25 10:04:44,457 - DEBUG - Original value at index 26, column RAU: 30.3581
2024-09-25 10:04:44,457 - DEBUG - New value at index 26, column RAU: 0.02352661225751551
2024-09-25 10:04:44,457 - DEBUG - Original value at index 27, column RAU: 5.5166
2024-09-25 10:04:44,457 - DEBUG - New value at index 27, column RAU: 0.09738734533673689
2024-09-25 10:04:44,457 - DEBUG - Original value at index 28, column RAU: 15.1568
2024-09-25 10:04:44,457 - DEBUG - New value at index 28, column RAU: 1.0123830670778815
2024-09-25 10:04:44,457 - DEBUG - Original value at index 29, column RAU: 4.9322
2024-09-25 10:04:44,457 - DEBUG - New value at index 29, column RAU: 0.3845506755260247
2024-09-25 10:04:44,457 - DEBUG - Original value at index 30, column RAU: 2.4943
2024-09-25 10:04:44,457 - DEBUG - New value at index 30, column RAU: 1.9167225507980692
2024-09-25 10:04:44,459 - DEBUG - Original value at index 31, column RAU: 3.2604
2024-09-25 10:04:44,459 - DEBUG - New value at index 31, column RAU: 0.41565236162989827
2024-09-25 10:04:44,459 - DEBUG - Original value at index 32, column RAU: 0.3389
2024-09-25 10:04:44,459 - DEBUG - New value at index 32, column RAU: 0.9841187224236572
2024-09-25 10:04:44,459 - DEBUG - Original value at index 33, column RAU: 0.6026
2024-09-25 10:04:44,459 - DEBUG - New value at index 33, column RAU: 3.726009708789704
2024-09-25 10:04:44,459 - DEBUG - Original value at index 34, column RAU: 16.0971
2024-09-25 10:04:44,459 - DEBUG - New value at index 34, column RAU: 1.987697767394067
2024-09-25 10:04:44,459 - DEBUG - Original value at index 35, column RAU: 3.2802
2024-09-25 10:04:44,459 - DEBUG - New value at index 35, column RAU: 3.5752332714959807
2024-09-25 10:04:44,459 - DEBUG - Original value at index 36, column RAU: 5.1255
2024-09-25 10:04:44,459 - DEBUG - New value at index 36, column RAU: 4.494953541969294
2024-09-25 10:04:44,459 - DEBUG - Original value at index 37, column RAU: 5.2404
2024-09-25 10:04:44,459 - DEBUG - New value at index 37, column RAU: 1.839976567631194
2024-09-25 10:04:44,459 - DEBUG - Original value at index 38, column RAU: 3.0378
2024-09-25 10:04:44,459 - DEBUG - New value at index 38, column RAU: 3.415496809067174
2024-09-25 10:04:44,459 - DEBUG - Original value at index 39, column RAU: 1.5881
2024-09-25 10:04:44,459 - DEBUG - New value at index 39, column RAU: 2.346576152982891
2024-09-25 10:04:44,459 - DEBUG - Original value at index 40, column RAU: 1.4345
2024-09-25 10:04:44,459 - DEBUG - New value at index 40, column RAU: 0.5365483560132569
2024-09-25 10:04:44,459 - DEBUG - Original value at index 41, column RAU: 0.9385
2024-09-25 10:04:44,459 - DEBUG - New value at index 41, column RAU: 3.2461434500785677
2024-09-25 10:04:44,459 - DEBUG - Original value at index 42, column RAU: 1.4441
2024-09-25 10:04:44,459 - DEBUG - New value at index 42, column RAU: 1.7184286925540135
2024-09-25 10:04:44,459 - DEBUG - Original value at index 43, column RAU: 4.0338
2024-09-25 10:04:44,460 - DEBUG - New value at index 43, column RAU: 4.361899942758926
2024-09-25 10:04:44,460 - DEBUG - Original value at index 44, column RAU: 1.2352
2024-09-25 10:04:44,460 - DEBUG - New value at index 44, column RAU: 0.1763504589497848
2024-09-25 10:04:44,460 - DEBUG - Original value at index 45, column RAU: 0.0933
2024-09-25 10:04:44,460 - DEBUG - New value at index 45, column RAU: 2.0748283940908068
2024-09-25 10:04:44,460 - DEBUG - Original value at index 46, column RAU: 1.6115
2024-09-25 10:04:44,460 - DEBUG - New value at index 46, column RAU: 1.2325508262113685
2024-09-25 10:04:44,460 - DEBUG - Original value at index 47, column RAU: 1.6615
2024-09-25 10:04:44,460 - DEBUG - New value at index 47, column RAU: 4.580028637325917
2024-09-25 10:04:44,460 - DEBUG - Original value at index 48, column RAU: 1.7693
2024-09-25 10:04:44,460 - DEBUG - New value at index 48, column RAU: 2.4268612894454917
2024-09-25 10:04:44,460 - DEBUG - Original value at index 49, column RAU: 1.3279
2024-09-25 10:04:44,460 - DEBUG - New value at index 49, column RAU: 4.43096884778975
2024-09-25 10:04:44,460 - DEBUG - Original value at index 50, column RAU: 1.7918
2024-09-25 10:04:44,460 - DEBUG - New value at index 50, column RAU: 4.780855509480814
2024-09-25 10:04:44,460 - DEBUG - Original value at index 51, column RAU: 0.6923
2024-09-25 10:04:44,460 - DEBUG - New value at index 51, column RAU: 2.1163704941891033
2024-09-25 10:04:44,460 - DEBUG - Original value at index 52, column RAU: 1.0334
2024-09-25 10:04:44,460 - DEBUG - New value at index 52, column RAU: 1.7013056679622502
2024-09-25 10:04:44,460 - DEBUG - Original value at index 53, column RAU: 33.7278
2024-09-25 10:04:44,460 - DEBUG - New value at index 53, column RAU: 2.8862406299977446
2024-09-25 10:04:44,460 - DEBUG - Original value at index 54, column RAU: 19.9137
2024-09-25 10:04:44,460 - DEBUG - New value at index 54, column RAU: 3.6718455885733
2024-09-25 10:04:44,460 - DEBUG - Original value at index 55, column RAU: 0.5174
2024-09-25 10:04:44,460 - DEBUG - New value at index 55, column RAU: 3.5777638071500757
2024-09-25 10:04:44,460 - DEBUG - Original value at index 56, column RAU: 13.1714
2024-09-25 10:04:44,460 - DEBUG - New value at index 56, column RAU: 3.950347268080015
2024-09-25 10:04:44,461 - DEBUG - Original value at index 57, column RAU: 11.3364
2024-09-25 10:04:44,461 - DEBUG - New value at index 57, column RAU: 3.9828759370443847
2024-09-25 10:04:44,461 - DEBUG - Original value at index 58, column RAU: 1.8038
2024-09-25 10:04:44,461 - DEBUG - New value at index 58, column RAU: 4.426337863757204
2024-09-25 10:04:44,461 - DEBUG - Original value at index 59, column RAU: 28.4158
2024-09-25 10:04:44,461 - DEBUG - New value at index 59, column RAU: 4.005843939924748
2024-09-25 10:04:44,461 - DEBUG - Original value at index 60, column RAU: 0.4314
2024-09-25 10:04:44,461 - DEBUG - New value at index 60, column RAU: 3.800219543861561
2024-09-25 10:04:44,461 - DEBUG - Original value at index 61, column RAU: 0.0969
2024-09-25 10:04:44,461 - DEBUG - New value at index 61, column RAU: 1.5805316826490237
2024-09-25 10:04:44,461 - DEBUG - Original value at index 62, column RAU: 1.5226
2024-09-25 10:04:44,461 - DEBUG - New value at index 62, column RAU: 0.4860902001170039
2024-09-25 10:04:44,461 - DEBUG - Original value at index 63, column RAU: 0.8299
2024-09-25 10:04:44,461 - DEBUG - New value at index 63, column RAU: 0.35596477280539424
2024-09-25 10:04:44,461 - DEBUG - Original value at index 64, column RAU: 2.1246
2024-09-25 10:04:44,461 - DEBUG - New value at index 64, column RAU: 3.349526051245654
2024-09-25 10:04:44,461 - DEBUG - Original value at index 65, column RAU: 2.4985
2024-09-25 10:04:44,461 - DEBUG - New value at index 65, column RAU: 2.4602467528569485
2024-09-25 10:04:44,461 - DEBUG - Original value at index 66, column RAU: 7.3229
2024-09-25 10:04:44,461 - DEBUG - New value at index 66, column RAU: 2.375237057935929
2024-09-25 10:04:44,461 - DEBUG - Original value at index 67, column RAU: 0.176
2024-09-25 10:04:44,461 - DEBUG - New value at index 67, column RAU: 2.6794072301456735
2024-09-25 10:04:44,461 - DEBUG - Original value at index 68, column RAU: 13.5352
2024-09-25 10:04:44,461 - DEBUG - New value at index 68, column RAU: 3.002512697462863
2024-09-25 10:04:44,461 - DEBUG - Original value at index 69, column RAU: 1.4242
2024-09-25 10:04:44,461 - DEBUG - New value at index 69, column RAU: 4.567846286795887
2024-09-25 10:04:44,462 - DEBUG - Original value at index 70, column RAU: 14.2261
2024-09-25 10:04:44,462 - DEBUG - New value at index 70, column RAU: 4.86115138143772
2024-09-25 10:04:44,462 - DEBUG - Original value at index 71, column RAU: 7.4539
2024-09-25 10:04:44,462 - DEBUG - New value at index 71, column RAU: 1.4563792885943172
2024-09-25 10:04:44,462 - DEBUG - Original value at index 72, column RAU: 0.0526
2024-09-25 10:04:44,462 - DEBUG - New value at index 72, column RAU: 2.5528552771772803
2024-09-25 10:04:44,462 - DEBUG - Original value at index 73, column RAU: 3.5204
2024-09-25 10:04:44,462 - DEBUG - New value at index 73, column RAU: 2.835781475027157
2024-09-25 10:04:44,462 - DEBUG - Original value at index 74, column RAU: 0.7244
2024-09-25 10:04:44,462 - DEBUG - New value at index 74, column RAU: 3.948034546865848
2024-09-25 10:04:44,462 - DEBUG - Original value at index 75, column RAU: 0.8487
2024-09-25 10:04:44,462 - DEBUG - New value at index 75, column RAU: 1.7257083025492357
2024-09-25 10:04:44,462 - DEBUG - Original value at index 76, column RAU: 0.1374
2024-09-25 10:04:44,462 - DEBUG - New value at index 76, column RAU: 4.812442214621514
2024-09-25 10:04:44,462 - DEBUG - Original value at index 77, column RAU: 1.8489
2024-09-25 10:04:44,462 - DEBUG - New value at index 77, column RAU: 2.972980289081288
2024-09-25 10:04:44,462 - DEBUG - Original value at index 78, column RAU: 0.226
2024-09-25 10:04:44,462 - DEBUG - New value at index 78, column RAU: 4.195110719047818
2024-09-25 10:04:44,462 - DEBUG - Original value at index 79, column RAU: 12.285
2024-09-25 10:04:44,462 - DEBUG - New value at index 79, column RAU: 4.689907672397897
2024-09-25 10:04:44,462 - DEBUG - Original value at index 80, column RAU: 5.4934
2024-09-25 10:04:44,462 - DEBUG - New value at index 80, column RAU: 0.7054590137494747
2024-09-25 10:04:44,462 - DEBUG - Original value at index 81, column RAU: 3.5059
2024-09-25 10:04:44,462 - DEBUG - New value at index 81, column RAU: 0.10517878479170159
2024-09-25 10:04:44,462 - DEBUG - Original value at index 82, column RAU: 5.7827
2024-09-25 10:04:44,462 - DEBUG - New value at index 82, column RAU: 3.223117605677839
2024-09-25 10:04:44,462 - DEBUG - Original value at index 83, column RAU: 1.4596
2024-09-25 10:04:44,462 - DEBUG - New value at index 83, column RAU: 2.763921017809526
2024-09-25 10:04:44,463 - DEBUG - Original value at index 84, column RAU: 2.5303
2024-09-25 10:04:44,463 - DEBUG - New value at index 84, column RAU: 4.975172876125935
2024-09-25 10:04:44,463 - DEBUG - Original value at index 85, column RAU: 0.5641
2024-09-25 10:04:44,463 - DEBUG - New value at index 85, column RAU: 2.768330478462792
2024-09-25 10:04:44,463 - DEBUG - Original value at index 86, column RAU: 3.2177
2024-09-25 10:04:44,463 - DEBUG - New value at index 86, column RAU: 1.3454071681817907
2024-09-25 10:04:44,463 - DEBUG - Original value at index 87, column RAU: 3.5587
2024-09-25 10:04:44,463 - DEBUG - New value at index 87, column RAU: 0.8235720770771051
2024-09-25 10:04:44,463 - DEBUG - Original value at index 88, column RAU: 2.7466
2024-09-25 10:04:44,463 - DEBUG - New value at index 88, column RAU: 2.31623325949587
2024-09-25 10:04:44,463 - DEBUG - Original value at index 89, column RAU: 2.3715
2024-09-25 10:04:44,463 - DEBUG - New value at index 89, column RAU: 2.6979983520647957
2024-09-25 10:04:44,463 - DEBUG - Original value at index 90, column RAU: 4.9938
2024-09-25 10:04:44,463 - DEBUG - New value at index 90, column RAU: 2.675329289010312
2024-09-25 10:04:44,463 - DEBUG - Original value at index 91, column RAU: 4.2733
2024-09-25 10:04:44,463 - DEBUG - New value at index 91, column RAU: 3.943870624961806
2024-09-25 10:04:44,463 - DEBUG - Original value at index 92, column RAU: 6.1435
2024-09-25 10:04:44,463 - DEBUG - New value at index 92, column RAU: 1.7481145859660066
2024-09-25 10:04:44,463 - DEBUG - Original value at index 93, column RAU: 0.9139
2024-09-25 10:04:44,463 - DEBUG - New value at index 93, column RAU: 4.967238643733092
2024-09-25 10:04:44,463 - DEBUG - Original value at index 94, column RAU: 3.8901
2024-09-25 10:04:44,463 - DEBUG - New value at index 94, column RAU: 3.4622215636003526
2024-09-25 10:04:44,463 - DEBUG - Original value at index 95, column RAU: 4.9193
2024-09-25 10:04:44,463 - DEBUG - New value at index 95, column RAU: 0.5105275719944252
2024-09-25 10:04:44,463 - DEBUG - Original value at index 96, column RAU: 0.478
2024-09-25 10:04:44,464 - DEBUG - New value at index 96, column RAU: 0.17329124814774466
2024-09-25 10:04:44,464 - DEBUG - Original value at index 97, column RAU: 0.4816
2024-09-25 10:04:44,464 - DEBUG - New value at index 97, column RAU: 3.8050959775911606
2024-09-25 10:04:44,464 - DEBUG - Original value at index 98, column RAU: 1.8749
2024-09-25 10:04:44,464 - DEBUG - New value at index 98, column RAU: 2.381849069715207
2024-09-25 10:04:44,464 - DEBUG - Original value at index 99, column RAU: 4.5031
2024-09-25 10:04:44,464 - DEBUG - New value at index 99, column RAU: 3.0090736140032655
2024-09-25 10:04:44,464 - DEBUG - Original value at index 100, column RAU: 1.083
2024-09-25 10:04:44,464 - DEBUG - New value at index 100, column RAU: 1.1255680656970988
2024-09-25 10:04:44,464 - DEBUG - Original value at index 101, column RAU: 0.9341
2024-09-25 10:04:44,464 - DEBUG - New value at index 101, column RAU: 0.6636243004911078
2024-09-25 10:04:44,464 - DEBUG - Original value at index 102, column RAU: 1.1211
2024-09-25 10:04:44,464 - DEBUG - New value at index 102, column RAU: 2.955706115837033
2024-09-25 10:04:44,464 - DEBUG - Original value at index 103, column RAU: 33.4522
2024-09-25 10:04:44,464 - DEBUG - New value at index 103, column RAU: 2.729789430488346
2024-09-25 10:04:44,464 - DEBUG - Original value at index 104, column RAU: 3.3296
2024-09-25 10:04:44,464 - DEBUG - New value at index 104, column RAU: 1.0440863032042675
2024-09-25 10:04:44,464 - DEBUG - Original value at index 105, column RAU: 2.8002
2024-09-25 10:04:44,464 - DEBUG - New value at index 105, column RAU: 4.73433927553793
2024-09-25 10:04:44,464 - DEBUG - Original value at index 106, column RAU: 18.7937
2024-09-25 10:04:44,464 - DEBUG - New value at index 106, column RAU: 1.315038545656077
2024-09-25 10:04:44,464 - DEBUG - Original value at index 107, column RAU: 4.9385
2024-09-25 10:04:44,464 - DEBUG - New value at index 107, column RAU: 2.1323251314116414
2024-09-25 10:04:44,464 - DEBUG - Original value at index 108, column RAU: 17.4661
2024-09-25 10:04:44,464 - DEBUG - New value at index 108, column RAU: 0.664271249514591
2024-09-25 10:04:44,465 - DEBUG - Original value at index 109, column RAU: 29.3171
2024-09-25 10:04:44,465 - DEBUG - New value at index 109, column RAU: 2.5356586548281648
2024-09-25 10:04:44,465 - DEBUG - Original value at index 110, column RAU: 3.955
2024-09-25 10:04:44,465 - DEBUG - New value at index 110, column RAU: 3.8146407134783864
2024-09-25 10:04:44,465 - DEBUG - Original value at index 111, column RAU: 0.8453
2024-09-25 10:04:44,465 - DEBUG - New value at index 111, column RAU: 3.084601769728965
2024-09-25 10:04:44,465 - DEBUG - Original value at index 112, column RAU: 12.3281
2024-09-25 10:04:44,465 - DEBUG - New value at index 112, column RAU: 4.083350244750473
2024-09-25 10:04:44,465 - DEBUG - Original value at index 113, column RAU: 10.6745
2024-09-25 10:04:44,465 - DEBUG - New value at index 113, column RAU: 2.997881331705236
2024-09-25 10:04:44,465 - DEBUG - Original value at index 114, column RAU: 22.3514
2024-09-25 10:04:44,465 - DEBUG - New value at index 114, column RAU: 4.266772731128812
2024-09-25 10:04:44,465 - DEBUG - Original value at index 115, column RAU: 10.3243
2024-09-25 10:04:44,465 - DEBUG - New value at index 115, column RAU: 2.4320485039690993
2024-09-25 10:04:44,465 - DEBUG - Original value at index 116, column RAU: 109.4784
2024-09-25 10:04:44,465 - DEBUG - New value at index 116, column RAU: 4.1363733601604125
2024-09-25 10:04:44,465 - DEBUG - Original value at index 117, column RAU: 1.2142
2024-09-25 10:04:44,465 - DEBUG - New value at index 117, column RAU: 1.854774677370948
2024-09-25 10:04:44,465 - DEBUG - Original value at index 118, column RAU: 0.3439
2024-09-25 10:04:44,465 - DEBUG - New value at index 118, column RAU: 4.298705521818011
2024-09-25 10:04:44,465 - DEBUG - Original value at index 119, column RAU: 0.2156
2024-09-25 10:04:44,465 - DEBUG - New value at index 119, column RAU: 1.4956470686858334
2024-09-25 10:04:44,465 - DEBUG - Original value at index 120, column RAU: 1.9823
2024-09-25 10:04:44,465 - DEBUG - New value at index 120, column RAU: 0.4896346238832141
2024-09-25 10:04:44,465 - DEBUG - Original value at index 121, column RAU: 0.2328
2024-09-25 10:04:44,465 - DEBUG - New value at index 121, column RAU: 3.0869174327390554
2024-09-25 10:04:44,465 - DEBUG - Original value at index 122, column RAU: 0.401
2024-09-25 10:04:44,465 - DEBUG - New value at index 122, column RAU: 0.12638469611677222
2024-09-25 10:04:44,466 - DEBUG - Original value at index 123, column RAU: 0.092
2024-09-25 10:04:44,466 - DEBUG - New value at index 123, column RAU: 4.4617117909344435
2024-09-25 10:04:44,466 - DEBUG - Original value at index 124, column RAU: 0.7842
2024-09-25 10:04:44,466 - DEBUG - New value at index 124, column RAU: 4.119345154099318
2024-09-25 10:04:44,466 - DEBUG - Original value at index 125, column RAU: 2.6426
2024-09-25 10:04:44,466 - DEBUG - New value at index 125, column RAU: 3.684741121530946
2024-09-25 10:04:44,466 - DEBUG - Original value at index 126, column RAU: 0.228
2024-09-25 10:04:44,466 - DEBUG - New value at index 126, column RAU: 2.556590226281404
2024-09-25 10:04:44,466 - DEBUG - Original value at index 127, column RAU: 2.0643
2024-09-25 10:04:44,466 - DEBUG - New value at index 127, column RAU: 3.391699725456265
2024-09-25 10:04:44,466 - DEBUG - Original value at index 128, column RAU: 2.6824
2024-09-25 10:04:44,466 - DEBUG - New value at index 128, column RAU: 0.8235195434497634
2024-09-25 10:04:44,466 - DEBUG - Original value at index 129, column RAU: 0.659
2024-09-25 10:04:44,466 - DEBUG - New value at index 129, column RAU: 3.919005556009624
2024-09-25 10:04:44,466 - DEBUG - Original value at index 130, column RAU: 0.2628
2024-09-25 10:04:44,466 - DEBUG - New value at index 130, column RAU: 4.738094790244765
2024-09-25 10:04:44,466 - DEBUG - Original value at index 131, column RAU: 2.1323
2024-09-25 10:04:44,466 - DEBUG - New value at index 131, column RAU: 2.5901908696193368
2024-09-25 10:04:44,466 - DEBUG - Original value at index 132, column RAU: 1.7753
2024-09-25 10:04:44,466 - DEBUG - New value at index 132, column RAU: 3.453586394050598
2024-09-25 10:04:44,466 - DEBUG - Original value at index 133, column RAU: 2.674
2024-09-25 10:04:44,466 - DEBUG - New value at index 133, column RAU: 3.141166022020765
2024-09-25 10:04:44,466 - DEBUG - Original value at index 134, column RAU: 1.6142
2024-09-25 10:04:44,466 - DEBUG - New value at index 134, column RAU: 3.1444736436823804
2024-09-25 10:04:44,466 - DEBUG - Original value at index 135, column RAU: 0.8041
2024-09-25 10:04:44,466 - DEBUG - New value at index 135, column RAU: 3.677425768426075
2024-09-25 10:04:44,466 - DEBUG - Original value at index 136, column RAU: 1.0946
2024-09-25 10:04:44,467 - DEBUG - New value at index 136, column RAU: 4.919547221232338
2024-09-25 10:04:44,467 - DEBUG - Original value at index 137, column RAU: 1.5652
2024-09-25 10:04:44,467 - DEBUG - New value at index 137, column RAU: 1.9822050177814041
2024-09-25 10:04:44,467 - DEBUG - Original value at index 138, column RAU: 0.6584
2024-09-25 10:04:44,467 - DEBUG - New value at index 138, column RAU: 3.7789512770172244
2024-09-25 10:04:44,467 - DEBUG - Original value at index 139, column RAU: 0.4802
2024-09-25 10:04:44,467 - DEBUG - New value at index 139, column RAU: 3.75766629389285
2024-09-25 10:04:44,467 - DEBUG - Original value at index 140, column RAU: 0.5794
2024-09-25 10:04:44,467 - DEBUG - New value at index 140, column RAU: 1.3958627998092075
2024-09-25 10:04:44,467 - DEBUG - Original value at index 141, column RAU: 0.316
2024-09-25 10:04:44,467 - DEBUG - New value at index 141, column RAU: 4.562734277029396
2024-09-25 10:04:44,467 - DEBUG - Original value at index 142, column RAU: 4.0353
2024-09-25 10:04:44,467 - DEBUG - New value at index 142, column RAU: 4.662923941017492
2024-09-25 10:04:44,467 - DEBUG - Original value at index 143, column RAU: 5.4629
2024-09-25 10:04:44,467 - DEBUG - New value at index 143, column RAU: 4.927141909349014
2024-09-25 10:04:44,467 - DEBUG - Original value at index 144, column RAU: 0.1229
2024-09-25 10:04:44,467 - DEBUG - New value at index 144, column RAU: 2.394698259979354
2024-09-25 10:04:44,467 - DEBUG - Original value at index 145, column RAU: 0.1734
2024-09-25 10:04:44,467 - DEBUG - New value at index 145, column RAU: 4.2290939916725625
2024-09-25 10:04:44,467 - DEBUG - Original value at index 146, column RAU: 3.053
2024-09-25 10:04:44,467 - DEBUG - New value at index 146, column RAU: 1.068315035121237
2024-09-25 10:04:44,467 - DEBUG - Original value at index 147, column RAU: 3.6582
2024-09-25 10:04:44,467 - DEBUG - New value at index 147, column RAU: 3.3601264729204523
2024-09-25 10:04:44,467 - DEBUG - Original value at index 148, column RAU: 0.1658
2024-09-25 10:04:44,467 - DEBUG - New value at index 148, column RAU: 1.4523514769980832
2024-09-25 10:04:44,467 - DEBUG - Original value at index 149, column RAU: 4.5246
2024-09-25 10:04:44,467 - DEBUG - New value at index 149, column RAU: 1.1702235496285203
2024-09-25 10:04:44,468 - DEBUG - Original value at index 150, column RAU: 4.7276
2024-09-25 10:04:44,468 - DEBUG - New value at index 150, column RAU: 3.3295444660135534
2024-09-25 10:04:44,468 - DEBUG - Original value at index 151, column RAU: 2.3123
2024-09-25 10:04:44,468 - DEBUG - New value at index 151, column RAU: 4.355908864494027
2024-09-25 10:04:44,468 - DEBUG - Original value at index 152, column RAU: 1.6734
